Name, RA, DE, Redshift, Vlsr, DistMpc, Re, R50, incl, PA, logMstar, logSFR, logOH, AGN
NGC7364, 341.10137764, -0.16196010, 0.01604644, 4813.93200000, 69.64598984, 10.56132000, 3.32518362, 50.43086215, -26.41292754, 10.95912677, 0.70286656, 8.6114751, 0.00000000
NGC7466, 345.51426427, 27.05281029, 0.02485114, 7455.34200000, 108.59887192, 12.63636000, 7.95915198, 65.72125560, -66.33898439, 10.97009940, 0.66234715, 8.5380815, 3.00000000
NGC7489, 346.88603166, 22.99822295, 0.02061531, 6184.59300000, 89.79429074, 16.65576000, 15.98283046, 53.95642658, 68.04514519, 10.94340199, 0.93427586, 8.4716811, 0.00000000
NGC7549, 348.82145186, 19.04183709, 0.01542288, 4626.86400000, 66.90702856, 16.63596000, 6.58128419, 59.08809869, -41.27011134, 10.77614213, 0.48168984, 8.5725802, 0.00000000
NGC7559B, 348.94390974, 13.29035980, 0.01512895, 4538.68500000, 65.61686125, 16.56072000, 3.40615085, 20.67059614, 90.00000000, 10.74052938, -1.89588061, NaN, 0.00000000
NGC7562, 348.98949640, 6.68762703, 0.01190054, 3570.16200000, 51.48451516, 14.03028000, 3.28387207, 47.10058918, -8.67413148, 11.15387098, -1.36521609, NaN, 0.00000000
NGC7563, 348.98294624, 13.19619565, 0.01432987, 4298.96100000, 62.11234628, 8.87832000, 2.50996024, 53.06301621, 38.47754453, 10.92247973, -1.97775824, NaN, 0.00000000
NGC7591, 349.56756861, 6.58575202, 0.01633002, 4899.00600000, 70.89246892, 13.07592000, 5.47238018, 63.48387167, 58.98177390, 11.01144112, 0.96461942, 8.5648989, 0.00000000
NGC7608, 349.81347076, 8.35031961, 0.01143781, 3431.34300000, 49.46468299, 7.60716000, 3.85965190, 77.69843555, -71.52013473, 10.25366568, -0.30010861, 8.5526824, 0.00000000
NGC7625, 350.12531086, 17.22640087, 0.00523678, 1571.03400000, 22.53691644, 9.79704000, 1.33094904, 40.62485446, -51.68475665, 10.25298049, 0.27308671, 8.5748811, 0.00000000
NGC7631, 350.36101972, 8.21763250, 0.01232212, 3696.63600000, 53.32598581, 14.10156000, 5.03276395, 67.61746207, -14.51480307, 10.68205141, -0.01204976, 8.560374, 0.00000000
NGC7653, 351.20543108, 15.27557882, 0.01395372, 4186.11600000, 60.46415990, 12.27600000, 3.89565569, 35.83116501, 39.03116908, 10.78535520, 0.50144285, 8.5700123, 0.00000000
NGC7683, 352.26588201, 11.44527189, 0.01221796, 3665.38800000, 52.87090097, 12.80268000, 3.08144778, 59.40680747, 46.47486152, 10.94965365, -0.88214982, NaN, 0.00000000
NGC7684, 352.63338480, 0.08109016, 0.01728181, 5184.54300000, 75.08002738, 9.03672000, 3.98799483, 72.45073343, -68.39240830, 10.98241240, -0.79458389, NaN, 0.00000000
NGC7716, 354.13094863, 0.29732305, 0.00851215, 2553.64500000, 36.72761407, 14.15700000, 2.73708538, 46.72880207, -60.49845013, 10.50807096, -0.17707674, 8.511981, 0.00000000
NGC7783NED01, 358.54280186, 0.38243896, 0.02608385, 7825.15500000, 114.09388737, 9.98316000, 6.61959865, 64.30330861, 18.62142010, 11.27793718, -1.49919919, NaN, 0.00000000
UGC00005, 0.77332657, -1.91365664, 0.02419584, 7258.75200000, 105.68188698, 14.45400000, 9.93459898, 62.67698714, -48.13869938, 11.08075148, 0.88656436, 8.6006113, 0.00000000
UGC00036, 1.30793030, 6.77194366, 0.02082539, 6247.61700000, 90.72409259, 10.05444000, 5.33039628, 62.98335596, -71.93192290, 10.94359965, 0.21898937, 8.6002996, 0.00000000
UGC00312, 7.84914385, 8.46668330, 0.01424251, 4272.75300000, 61.72947361, 13.27788000, 6.00224028, 65.39883651, -72.22893790, 10.30310902, 0.60693782, 8.3753603, 0.00000000
UGC00335NED02, 8.48880527, 7.26837971, 0.01818002, 5454.00600000, 79.03743684, 16.63596000, 5.88376104, 57.53273285, 57.66020864, 10.71582572, -1.25779860, 8.3912834, 0.00000000
UGC01057, 22.22187835, 13.79384427, 0.02087725, 6263.17500000, 90.95366743, 10.99692000, 6.60816101, 71.86542194, 66.62398990, 10.56740939, 0.34688804, 8.5294254, 0.00000000
UGC01062, 22.24812350, -0.56182188, 0.01821956, 5465.86800000, 79.21177006, 9.53568000, 3.94179329, 67.41129521, -31.79822210, 10.91584091, -1.79926448, NaN, 0.00000000
UGC01123, 23.53304716, -1.03221409, 0.01614827, 4844.48100000, 70.09352248, 9.82080000, 5.47582073, 80.68607797, -18.48960348, 10.70926496, -0.72293410, NaN, 0.00000000
UGC01368, 28.55461026, 7.88369185, 0.02652878, 7958.63400000, 116.07972671, 10.89396000, 9.02697141, 76.95371113, -36.01902035, 10.94169105, 0.24469773, 8.5038274, 0.00000000
UGC01659, 32.48706272, 16.03252360, 0.02733690, 8201.07000000, 119.68995061, 13.07196000, 11.18893020, 65.17501498, -57.30645093, 10.95686745, 0.48457914, 8.5502777, 0.00000000
UGC01749, 34.06000652, 18.31101491, 0.02692950, 8078.85000000, 117.86937390, 12.04236000, 9.11057405, 78.27268701, 45.46365261, 10.96450222, -0.01700368, 8.4423272, 0.00000000
UGC01938, 37.09218361, 23.21465072, 0.02096566, 6289.69800000, 91.34508405, 8.59320000, 6.21052487, 75.40980588, 66.01419799, 10.68301580, 0.41508758, 8.5569673, 0.00000000
UGC02018, 38.16727975, 0.26010890, 0.02046846, 6140.53800000, 89.14451678, 10.37916000, 4.76639398, 65.66116933, -16.51751567, 10.89310066, -1.45866235, NaN, 0.00000000
