# %ECSV 0.9
# ---
# datatype:
# - {name: target, datatype: string}
# - {name: dist, datatype: float32}
# delimiter: ','
# schema: astropy-2.0
target,dist
UGC02829,91.77735530971428
PGC1186356,309.93318959600003
PGC043319,53.80887194857143
NGC2618,56.56441227142857
PGC1389223,256.10168460914286
UGC3611,71.03984467657142
NGC7222,176.053077788
UGC00881,145.330289952
UGC10064,90.04235536914287
PGC034730,107.81545140171428
PGC1354027,178.18045503314286
PGC009568,135.21374968400002
2MASXJ02305208+2228326,132.704306216
PGC009572,132.59015697942857
PGC1709570,141.04729764457144
PGC213292,64.96084162971428
PGC036194,44.65609693657142
NGC7042,72.67357353657142
IC1890,145.41701427828573
UGC06483,54.08838355371429
2MASXJ11500404+2116472,111.51691581428571
NGC3861,72.19648278057144
UGC07170,35.74415627714286
PGC008502,67.95340847828572
NGC5910,173.19913295085715
UGC00005,103.52086447542857
UGC00029,125.28901264971431
UGC00036,89.10053859828571
UGC00139,55.33106143085714
UGC00148,58.16682282514286
UGC00312,60.93596864171429
UGC00312NED01,61.36295866457144
PGC002030,77.54357016399999
UGC00335NED02,77.7823936417143
UGC01057,89.32241938571428
UGC01062,77.95160662171428
UGC01123,69.08968112628571
UGC01271,71.61555386971429
UGC01274,112.36015693257143
UGC01368,113.5022482822857
UGC01659,116.95975506857144
UGC01749,115.21671162857143
UGC01918,72.33001342800002
UGC01938,89.70067778171429
UGC02018,87.57342889028571
UGC02099,116.90764346057142
UGC02134,64.79227041828571
UGC02229,104.21059455142857
UGC02311,101.70046653028572
UGC02319,99.72557349771428
UGC02367,105.29146117942857
UGC02403,58.701330475999995
UGC02405,110.08731214457143
UGC02443,35.59124421885714
UGC02628,96.72911325314286
UGC03038,115.35310884228572
UGC03107,119.26490220800001
UGC03151,65.21819082685714
UGC03552,68.48594803885715
UGC03960,31.717571906285716
UGC03969,115.08386553428572
UGC03995,67.32182263485714
UGC04054,29.126195984000002
UGC04140,66.58040879657142
UGC04145,65.04101991657143
UGC04190,68.18692666914286
UGC04197,64.85939941085714
UGC04210,72.47877538285715
UGC04233,126.03337862342856
UGC04240,121.7179128262857
UGC04245,73.77270917657142
UGC04308,49.88334473542857
UGC04375,28.368138947428573
UGC04425,83.00386552342857
UGC04455,133.2236681285714
UGC04550,31.220115694285713
UGC04722,25.96732550628571
UGC05108,115.32846492914285
UGC05358,42.210701972
UGC05359,119.23846134285715
UGC05377,29.73904218514286
UGC05396,76.40451651885715
UGC05498NED01,89.41333660000001
UGC05598,80.62427322971429
UGC06035,10.847257963428573
UGC06181,16.014906854285716
UGC06312,90.16215216914286
UGC06320,14.749724292571429
UGC07012,43.29340833657143
UGC08322,108.10317764457142
UGC08516,13.599760581714284
UGC08781,107.64427033142857
UGC09067,111.90741059771428
UGC09110,65.94685486285715
UGC09165,75.82756657314286
UGC09182,65.78324666171429
UGC09199,110.18443312171429
UGC09356,31.228758177714287
UGC09401,80.38082901828571
UGC09492,118.52498582971428
UGC09539,90.50819378285715
UGC09708,119.23974488
UGC09711,119.43257494342856
UGC09777,66.553411732
UGC09901,44.279336000571426
UGC09919,45.37492052114286
UGC09937,62.19849856
UGC10042,57.618410188571424
UGC10043,30.82307487142857
UGC10063,91.38835798628571
UGC10117,77.12201378171427
UGC10297,31.959775365142857
UGC10337,125.59731827142856
UGC10380,124.95187022685714
UGC10384,70.63364795542857
UGC10388,65.62194882742858
UGC10650,42.40691201657143
UGC01071,3.9552197057142857
UGC10738,95.919201316
UGC10905,109.83924719942857
UGC10972,65.30641261314285
UGC11162,65.20129092114286
UGC11866,23.442907438285715
UGC11649,53.566839628000004
UGC11680NED01,110.38603402228571
UGC11680NED02,111.89324890457142
UGC11717,89.57022762342856
UGC11723,68.71600067942857
UGC11740,90.37196770742857
UGC11792,67.87190386971429
UGC11958,111.98450839542856
UGC11982,66.47263446114286
UGC12054,29.115799333142856
UGC12224,49.47308348
UGC12250,102.63274234171429
UGC12274,108.70301733599999
UGC12308,32.04140832742857
UGC12348,107.3753693
UGC12494NOTES01,69.53126068799999
UGC12518,54.22080180228571
UGC12519,62.05940591828572
UGC12633,59.14286725314285
UGC12688,75.65244932228572
UGC12723,78.40679167714286
UGC12767,73.9681063142857
UGC12810,115.04561612742856
UGC12816,75.6026908657143
UGC12857,34.874388724571425
UGC02931,81.88402215085715
UGC03236,121.21579309600001
UGC03843,74.83355262514286
UGC04310,60.69735908685715
UGC5392,87.03558404285714
UGC05695,41.05847067885714
UGC06320,14.800167302285715
